Fold,Held-out Subject,Model,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
1,andi,SVM,0.8714285714285714,0.8795589482612383,0.6556521739130435,0.6556521739130435,0.6987087517934003,0.8862608695652174
1,andi,RandomForest,0.8785714285714286,0.8580729166666667,0.691304347826087,0.691304347826087,0.7352908464019575,0.8076521739130436
1,andi,MLP,0.7142857142857143,0.6601141407736207,0.7634782608695652,0.7634782608695652,0.6550874599655088,0.8866086956521739
2,arthur,SVM,0.6285714285714286,0.633846153846154,0.6354015355882963,0.6354015355882963,0.6282679738562091,0.6592654077609462
2,arthur,RandomForest,0.5071428571428571,0.5502136752136753,0.5390122432039842,0.5390122432039842,0.4909090909090909,0.6561527287819051
2,arthur,MLP,0.55,0.5344444444444445,0.5321643494500934,0.5321643494500934,0.5298256836718376,0.5644324548661548
3,auzan,SVM,0.42857142857142855,0.21428571428571427,0.5,0.5,0.3,0.6862499999999999
3,auzan,RandomForest,0.5714285714285714,0.2857142857142857,0.5,0.5,0.36363636363636365,0.5895833333333333
3,auzan,MLP,0.6428571428571429,0.6428571428571428,0.6458333333333333,0.6458333333333333,0.641025641025641,0.7333333333333334
4,bowo,SVM,0.36428571428571427,0.3604328523862375,0.3956214982361486,0.3956214982361486,0.33972762439722326,0.33990454451130936
4,bowo,RandomForest,0.40714285714285714,0.419750231267345,0.427993359618178,0.427993359618178,0.40025806451612905,0.411081137165387
4,bowo,MLP,0.4785714285714286,0.5028409090909092,0.502490143183233,0.502490143183233,0.4707679560872042,0.42270180535380786
5,daffa,SVM,0.425531914893617,0.5743243243243243,0.5612623762376238,0.5612623762376238,0.42262777412668723,0.5113861386138614
5,daffa,RandomForest,0.375886524822695,0.65625,0.5643564356435644,0.5643564356435644,0.3521303258145363,0.628960396039604
5,daffa,MLP,0.4397163120567376,0.4350845410628019,0.42017326732673266,0.42017326732673266,0.40929097947711723,0.3282178217821782
6,doni,SVM,0.2357142857142857,0.54369274136716,0.5222701149425287,0.5222701149425287,0.22906695486593587,0.37823275862068967
6,doni,RandomForest,0.1357142857142857,0.13909774436090225,0.3793103448275862,0.3793103448275862,0.12277976282947543,0.2316810344827586
6,doni,MLP,0.2,0.5882352941176471,0.5172413793103449,0.5172413793103449,0.18333333333333332,0.5959051724137931
