,Heart_Rate,Mean_HR,Mean_NN,Median_NN,NN_Count,RMSSD,SD1,SD1_SD2,SD2,SDNN,SDSD
Heart_Rate,1.0,0.33881798271350383,-0.3165270941359008,-0.2914958713743347,0.3088624595715514,-0.21272550856337466,-0.2130188635018215,-0.14193465365891605,-0.21002016525030603,-0.21214195227907223,-0.2130188635018215
Mean_HR,0.33881798271350383,1.0,-0.9024919880381423,-0.7457162861008932,0.8443142935984909,-0.46756780650015817,-0.4686067354809574,-0.44402106684027465,-0.4149987805902693,-0.42938341525670587,-0.4686067354809574
Mean_NN,-0.3165270941359008,-0.9024919880381423,1.0,0.7816140139545197,-0.8900632538046916,0.6881472897862874,0.6891948136787385,0.42607174657215613,0.631985930777697,0.6481363151429784,0.6891948136787385
Median_NN,-0.2914958713743347,-0.7457162861008932,0.7816140139545197,1.0,-0.5464800555421218,0.3533674867474856,0.35470203784620247,0.5434488134939989,0.2784088047105433,0.29705820180964687,0.35470203784620247
NN_Count,0.3088624595715514,0.8443142935984909,-0.8900632538046916,-0.5464800555421218,1.0,-0.7441936569524611,-0.7447724906250224,-0.3057246151806198,-0.7216924485947934,-0.7308291984671876,-0.7447724906250224
RMSSD,-0.21272550856337466,-0.46756780650015817,0.6881472897862874,0.3533674867474856,-0.7441936569524611,1.0,0.999995683066624,0.29492433406490837,0.967873891773216,0.9810851173702384,0.999995683066624
SD1,-0.2130188635018215,-0.4686067354809574,0.6891948136787385,0.35470203784620247,-0.7447724906250224,0.999995683066624,1.0,0.29579351088455347,0.9676362090000691,0.9809022160920824,1.0
SD1_SD2,-0.14193465365891605,-0.44402106684027465,0.42607174657215613,0.5434488134939989,-0.3057246151806198,0.29492433406490837,0.29579351088455347,1.0,0.1013110478854489,0.14783141977116282,0.29579351088455347
SD2,-0.21002016525030603,-0.4149987805902693,0.631985930777697,0.2784088047105433,-0.7216924485947934,0.967873891773216,0.9676362090000691,0.1013110478854489,1.0,0.9980863802821919,0.9676362090000691
SDNN,-0.21214195227907223,-0.42938341525670587,0.6481363151429784,0.29705820180964687,-0.7308291984671876,0.9810851173702384,0.9809022160920824,0.14783141977116282,0.9980863802821919,1.0,0.9809022160920824
SDSD,-0.2130188635018215,-0.4686067354809574,0.6891948136787385,0.35470203784620247,-0.7447724906250224,0.999995683066624,1.0,0.29579351088455347,0.9676362090000691,0.9809022160920824,1.0
